id;frage;name1;loesung1;name2;loesung2;name3;loesung3;name4;loesung4;name5;loesung5;name6;loesung6;name7;loesung7;name8;loesung8;name9;loesung9;name10;loesung10;name11;loesung11;name12;loesung12;name13;loesung13;name14;loesung14;name15;loesung15
1;Sortiere deutsche Fußballstadien nach Kapazität;Red Bull Arena;47.800 Plätze;Heinz-von-Heiden-Arena;49.200 Plätze;Fritz-Walter-Stadion;49.327 Plätze;Rheinenergie-stadion;50.000 Plätze;Max-Morlock-Stadion;50.000 Plätze;Borussia-Park;54.022 Plätze;Merkur Spiel-Arena;54.600 Plätze;Volksparkstadion;57.000 Plätze;Deutsche Bank Park;58.000 Plätze;MHPArena;60.058 Plätze;Veltins-Arena;62.271 Plätze;Olympiastadion München;69.250 Plätze;Olympiastadion Berlin;73.856 Plätze;Allianz Arena;75.024 Plätze;Signal Iduna Park;81.365 Plätze
2;Sortiere Länder nach Einwohnern (2024);Demokratische Republik Kongo;109.276.265 Einwohner;Philippinen;115.843.670 Einwohner;Ägypten;116.538.258 Einwohner;Japan;123.753.041 Einwohner;Mexiko;130.861.007 Einwohner;Ãthiopien;132.059.767 Einwohner;Russland;144.820.423 Einwohner;Bangladesch;173.562.364 Einwohner;Brasilien;211.998.573 Einwohner;Nigeria;212.915.636 Einwohner;Pakistan;251.269.164 Einwohner;Indonesien;283.487.931 Einwohner;Vereinigte Staaten;345.426.571 Einwohner;Volksrepublik China;1.419.321.278 Einwohner;Indien;1.450.935.791 Einwohner
3;Sortiere Twitch Streamer*innen nach WatchTime (Stand 07.08.2025);KappaMirko;2,7k;BuddyYut;6,9k;Merliess;10,4k;UnechterCupcake;14k;FreshFries;42,8k;KDRKitten;6,49Mio;Rumathra;18,8Mio;Metashi12;25,4Mio;Reved;26,6Mio;PietSmiet;52,3Mio;Shlorox;80,6Mio;Gronkh;170Mio;Papaplatte;221Mio;Trymacs;237Mio;EliasN97;277Mio
4;Sortiere  Videospiele nach Verkaufseinheiten (Stand Mai 2025);Bejeweled;50 Mio;Human Fall Flat;55 Mio;Super Mario Bros. ;58 Mio;The Elder Scrolls V: Skyrim;60 Mio;Terraria;64 Mio;The Oregon Trail;65 Mio;The Sims;70 Mio;Red Dead Redemption 2;74 Mio;PlayerUnknown's Battlegrounds;75 Mio;Pokémon Red / Blue / Yellow;76,14 Mio;Mario Kart  8 / Deluxe;76,66 Mio;Ark: Survival Evolved;79,05 Mio;Wii Sports;82,9 Mio;Grand Theft Auto V;215 Mio;Minecraft;350 Mio
5;Sortiere die durchschnittlichen Phallusgrößen im Vergleich zur Körpergröße;Kambodscha;6,09%;Iran;6,84%;Rumänien;7,18%;Vereinigtes Königreich;7,38%;USA;7,68%;Spanien;7,88%;Japan;7,90%;Deutschland;8,07%;Dänemark;8,21%;Niederlande;8,65%;Italien;8,81%;Frankreich;8,83%;Ägypten;9,08%;Kamerun;9,75%;Ecuador;10,54%
6;Sortiere Lego Sets nach Preis;Winkelgasse;449,99 €;Der Herr der Ringe: Barad-dûr;459,99 €;Schloss Hogwarts;469,99 €;Lego Education Spike Prime-Set;484,99 €;Jabbas Segelbarke;499,99 €;Der Herr der Ringe: Bruchtal;499,99 €;Avengers Tower;499,99 €;Connections Kit;559,00 €;The Razors Crest;599,99 €;Eiffelturm;629,99 €;Republikanischer Angriffskreuzer der Venator-Klasse;649,99 €;Liebherr LR 13000 Raupenkran;679,99 €;Titanic;679,99 €;Identity and Landscape Set;699,99 €;Millennium Falke;849,99 €
7;Sortiere Filme nach Einspielergebnis;Die Eiskönigin 2;1450 Mio;Top Gun: Maverick;1495,7 Mio;Fast & Furious 7;1515,3 Mio;Marvel's The Avengers;1520,5 Mio;Der König der Löwen (2019);1663,3 Mio;Jurassic World;1671,5 Mio;Alles steht Kopf 2;1698,9 Mio;Ne Zha 2;1899,9 Mio;Spider-Man: No Way Home;1921,8 Mio;Avengers: Infinity War;2052,4 Mio;Star Wars: Das Erwachen der Macht;2069,5 Mio;Titanic;2263,3 Mio;Avatar: The Way of Water;2320,3 Mio;Avengers: Endgame;2799,4 Mio;Avatar - Aufbruch nach Pandora;2923,7 Mio
8;Sortiere Haushaltseinkommen pro Kopf nach Bundesland;Mecklenburg-Vorpommern;19470;Sachsen-Anhalt;19528;Thüringen;19793;Saarland;20277;Sachsen;20335;Brandenburg;20475;Berlin;20972;Bremen;21481;Niedersachen;21988;Nordrhein-Westfalen;22294;Schleswig-Holstein;22833;Hessen;23943;Baden-Württemberg;24892;Hamburg;25029;Bayern;25309
9;Sortiere Flüsse nach Länge;Yukon;3184km;Madeira;3239km;Purus;3379km;Wolga;3685km;Parana;3998km;Jennisei;4092km;Mekong;4183km;Mackenzie;4241km;Kongo;4373km;Lena;4399km;Amur;4415km;Huang Ho;5463km;Mississippi-Missouri;6021km;Amazonas;6436km;Nil;6693km
10;Sortiere top börsennotierte deutsche Unternehmen nach Gewinn;Daimler Truck;3,44 Mrd €;Commerzbank;3,62 Mrd €;Talanx;4,35 Mrd €;RWE;4.44 Mrd €;DHL Group (Deutsche Post);5,67 Mrd €;Munich RE (Münchener Rück);6,09 Mrd €;E.ON;6.42 Mrd €;Deutsche Bank;7,74 Mrd €;BMW;8,78 Mrd €;Mercedes-Benz;9,71 Mrd €;SAP;9,85 Mrd €;Siemens;10,45 Mrd €;Volkswagen;12,28 Mrd €;Allianz SE;13,52 Mrd €;Deutsche Telekom;22.51 Mrd €
